settlement_id,bsp_cycle,airline_code,amount_local,currency,pnr,issue_date,ticket_number,agency_iata,source_system
BSP-2026-W19-TG653-025,2026-W19,TG,5536.15,SGD,60X5ZU,2026-04-30,098-3402402094,35827078,BSP
BSP-2026-W19-WY654-026,2026-W19,WY,58108.7,INR,8S1SAX,2026-04-28,098-5133376765,46904845,BSP
BSP-2026-W19-QR351-027,2026-W19,QR,83139.36,AED,P3VOB5,2026-04-26,098-6755069588,34227374,BSP
BSP-2026-W19-MH124-028,2026-W19,MH,86105.19,GBP,ND9TKG,2026-04-27,098-5957368810,64663717,BSP
BSP-2026-W19-EK160-029,2026-W19,EK,61833.07,GBP,GZKDF6,2026-04-30,098-1519546158,37187070,BSP
BSP-2026-W19-QR870-030,2026-W19,QR,60103.46,USD,R1NECQ,2026-05-02,098-5576108188,13879756,BSP
BSP-2026-W19-MH748-031,2026-W19,MH,24140.31,INR,J8YIT2,2026-04-30,098-7735563741,69858725,BSP
BSP-2026-W19-BA966-032,2026-W19,BA,63944.1,USD,2FTGI8,2026-05-03,098-1179495626,72364542,BSP
BSP-2026-W19-WY396-033,2026-W19,WY,65652.83,USD,A7RV4N,2026-05-01,098-2208222796,31664929,BSP
BSP-2026-W19-GF676-034,2026-W19,GF,7923.59,INR,OEFUKP,2026-05-01,098-9355465756,95251058,BSP
BSP-2026-W19-SQ870-035,2026-W19,SQ,71067.66,GBP,I9MQVA,2026-04-28,098-9598728606,73958633,BSP
BSP-2026-W19-AI109-036,2026-W19,AI,67597.93,EUR,UZROC5,2026-04-27,098-3313481256,69750614,BSP
BSP-2026-W19-BA461-037,2026-W19,BA,97231.86,EUR,3MG1ZA,2026-05-03,098-6123856711,11256721,BSP
BSP-2026-W19-QR860-038,2026-W19,QR,2958.39,GBP,YZG3W3,2026-04-29,098-2559069619,47682480,BSP
BSP-2026-W19-EY820-039,2026-W19,EY,70989.83,USD,A9WDJS,2026-04-28,098-3369899340,98562013,BSP
BSP-2026-W19-WY788-040,2026-W19,WY,68555.98,AED,GV0E74,2026-04-30,098-3911896416,81530199,BSP
BSP-2026-W19-WY358-041,2026-W19,WY,68387.36,EUR,APYX4L,2026-05-02,098-2176973938,79564413,BSP
BSP-2026-W19-EY607-042,2026-W19,EY,36785.71,INR,5IKPQA,2026-04-29,098-2437550554,86748329,BSP
BSP-2026-W19-AI855-043,2026-W19,AI,23337.17,SGD,PCIFLW,2026-04-27,098-5414679868,67975205,BSP
BSP-2026-W19-AI706-044,2026-W19,AI,79924.87,GBP,4IR833,2026-04-29,098-5052505985,90525899,BSP
BSP-2026-W19-WY549-045,2026-W19,WY,76645.76,SGD,QE97N6,2026-04-27,098-4361440027,18321798,BSP
BSP-2026-W19-EY156-046,2026-W19,EY,30845.64,SGD,PDCB4O,2026-05-02,098-5340522065,61528873,BSP
BSP-2026-W19-EY914-047,2026-W19,EY,43382.47,AED,WM72QL,2026-04-29,098-1463884781,11649345,BSP
BSP-2026-W19-WY830-048,2026-W19,WY,7686.9,USD,6ESMRW,2026-04-28,098-2044331936,15915081,BSP
BSP-2026-W19-AI230-049,2026-W19,AI,31855.02,EUR,SXMVTF,2026-05-03,098-6767712944,59503523,BSP
BSP-2026-W19-AI630-050,2026-W19,AI,59057.55,SGD,FI3UBM,2026-04-29,098-5588759271,35414874,BSP
BSP-2026-W19-EY811-051,2026-W19,EY,69492.26,EUR,VLU8WP,2026-04-28,098-5745285588,15662934,BSP
BSP-2026-W19-EY324-052,2026-W19,EY,92075.41,SGD,IIWI08,2026-05-01,098-2614528899,63729043,BSP
BSP-2026-W19-EK945-053,2026-W19,EK,98997.93,GBP,AMTFPW,2026-05-01,098-1127498560,36551621,BSP
BSP-2026-W19-SQ278-054,2026-W19,SQ,22675.56,GBP,ZMTGA4,2026-04-27,098-3909635823,60858151,BSP
BSP-2026-W19-BA446-055,2026-W19,BA,93675.3,GBP,QNNGS2,2026-05-02,098-1280794323,29385367,BSP
BSP-2026-W19-EK913-056,2026-W19,EK,19774.47,AED,NNV9IB,2026-04-29,098-5933057363,43174817,BSP
BSP-2026-W19-AI744-057,2026-W19,AI,79765.58,USD,485HCQ,2026-04-27,098-6902427921,79644554,BSP
BSP-2026-W19-EY283-058,2026-W19,EY,32860.49,GBP,SR8RUW,2026-04-26,098-1889915488,37246265,BSP
BSP-2026-W19-EY983-059,2026-W19,EY,24204.07,USD,L5U7NT,2026-04-28,098-4228195145,49600674,BSP
BSP-2026-W19-EY631-060,2026-W19,EY,35805.92,AED,BSMQPN,2026-05-03,098-6656559654,61320957,BSP
BSP-2026-W19-AI283-061,2026-W19,AI,44727.16,GBP,XMC4SX,2026-04-30,098-4979742135,23208247,BSP
BSP-2026-W19-BA173-062,2026-W19,BA,36663.45,AED,HHLK3Y,2026-04-30,098-2121568215,50194740,BSP
BSP-2026-W19-SQ942-063,2026-W19,SQ,35316.6,EUR,831AX9,2026-04-28,098-9012115975,40545068,BSP
BSP-2026-W19-QR840-064,2026-W19,QR,75164.57,EUR,IVTQ3M,2026-04-27,098-6101762091,66061116,BSP
BSP-2026-W19-QR549-065,2026-W19,QR,45547.22,AED,BF5L0R,2026-05-01,098-2459525419,66257000,BSP
BSP-2026-W19-MH802-066,2026-W19,MH,75509.99,SGD,TLA27F,2026-05-01,098-2637750783,62430296,BSP
BSP-2026-W19-BA647-067,2026-W19,BA,39256.95,EUR,DUQ6DD,2026-04-28,098-3098578259,35057390,BSP
BSP-2026-W19-QR171-068,2026-W19,QR,91223.19,EUR,KIXCCS,2026-04-28,098-9202582000,62493261,BSP
BSP-2026-W19-EK213-069,2026-W19,EK,13784.63,EUR,RC85EH,2026-05-02,098-8150229969,31311258,BSP
BSP-2026-W19-WY688-070,2026-W19,WY,93976.27,AED,HZQH9Q,2026-05-02,098-7403618535,72101932,BSP
BSP-2026-W19-WY140-071,2026-W19,WY,73991.78,GBP,X7M42O,2026-04-28,098-2782638028,34102565,BSP
BSP-2026-W19-WY850-072,2026-W19,WY,43775.58,EUR,6GUO8I,2026-04-28,098-4935462811,39159454,BSP
BSP-2026-W19-EY521-073,2026-W19,EY,99246.58,AED,EN1S2O,2026-04-28,098-2085624355,77922837,BSP
BSP-2026-W19-AI573-074,2026-W19,AI,3645.07,SGD,Z0N04O,2026-04-26,098-2076343427,28318112,BSP
BSP-2026-W19-TG786-075,2026-W19,TG,75118.93,EUR,QCXZPQ,2026-04-30,098-4614483566,32896080,BSP
BSP-2026-W19-AI721-076,2026-W19,AI,10951.0,GBP,E0GYAJ,2026-05-03,098-2537971916,39081281,BSP
BSP-2026-W19-AI791-077,2026-W19,AI,53697.58,EUR,Z43XZ6,2026-05-02,098-8259983843,69590884,BSP
BSP-2026-W19-AI712-078,2026-W19,AI,1461.91,EUR,17NIDP,2026-04-26,098-3873116056,39604115,BSP
BSP-2026-W19-BA916-079,2026-W19,BA,83703.12,SGD,GGODLU,2026-04-29,098-3682951628,82706099,BSP
BSP-2026-W19-MH538-080,2026-W19,MH,12959.59,USD,DLAXAH,2026-04-29,098-9873472374,47373949,BSP
BSP-2026-W19-WY477-081,2026-W19,WY,5349.96,USD,O1R9Z2,2026-04-28,098-9996859399,53534095,BSP
BSP-2026-W19-MH794-082,2026-W19,MH,92530.79,SGD,EG1Y9X,2026-04-27,098-2439265956,91675959,BSP
BSP-2026-W19-WY559-083,2026-W19,WY,38854.77,SGD,0SZAA1,2026-04-27,098-2326494754,67512010,BSP
BSP-2026-W19-QR734-084,2026-W19,QR,8859.57,USD,NKFHB7,2026-05-03,098-2411712184,47329499,BSP
BSP-2026-W19-TG759-085,2026-W19,TG,78910.12,INR,S9XKA4,2026-05-01,098-2472007336,37624348,BSP
BSP-2026-W19-GF155-086,2026-W19,GF,90756.57,SGD,92ZI5S,2026-04-28,098-1025953043,75987111,BSP
BSP-2026-W19-BA297-087,2026-W19,BA,6158.58,USD,7EGT2H,2026-04-27,098-7301035934,32033022,BSP
BSP-2026-W19-QR350-088,2026-W19,QR,42977.66,AED,IKQWJ2,2026-04-27,098-6839359948,60696383,BSP
BSP-2026-W19-EK582-089,2026-W19,EK,44696.23,AED,VPF8R1,2026-05-02,098-4668083380,50296396,BSP
BSP-2026-W19-WY650-090,2026-W19,WY,16127.07,SGD,GNLKUR,2026-05-01,098-3015449824,30766764,BSP
BSP-2026-W19-QR104-091,2026-W19,QR,2270.59,AED,0NOOO0,2026-05-02,098-7397573322,96040102,BSP
BSP-2026-W19-WY172-092,2026-W19,WY,41469.97,INR,9E7F18,2026-05-01,098-8252006746,17744982,BSP
BSP-2026-W19-MH534-093,2026-W19,MH,73830.76,USD,R7NZBX,2026-04-28,098-3925158297,44129962,BSP
BSP-2026-W19-QR716-094,2026-W19,QR,58255.84,SGD,4A1X7O,2026-04-27,098-2816534344,67293719,BSP
BSP-2026-W19-SQ808-095,2026-W19,SQ,30919.74,AED,XNLO50,2026-04-27,098-8720349513,29154679,BSP
BSP-2026-W19-SQ866-096,2026-W19,SQ,21743.03,SGD,OL93AC,2026-05-02,098-7549661883,97848347,BSP
BSP-2026-W19-SQ850-097,2026-W19,SQ,43664.01,USD,NZHG8Q,2026-04-29,098-1797309341,17916438,BSP
BSP-2026-W19-EK928-098,2026-W19,EK,76157.3,GBP,95P6DW,2026-04-27,098-2258964802,60697866,BSP
BSP-2026-W19-BA383-099,2026-W19,BA,7361.98,INR,VRYDC1,2026-04-26,098-1179784541,38329115,BSP
BSP-2026-W19-GF910-100,2026-W19,GF,1718.93,AED,S8JR1V,2026-05-01,098-9118141883,52308622,BSP
